Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","586","Pakistan","671","Protein supply quantity (t)","S2511","Wheat and products","2012","2012","t","2292497.96","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2012","2012","g/cap/d","4.88","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","681","Fat supply quantity (t)","S2511","Wheat and products","2012","2012","t","369825.01","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2013","2013","1000 t","24227","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2013","2013","1000 t","430","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2013","2013","1000 t","-438","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2013","2013","1000 t","902","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2013","2013","1000 t","24193","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2013","2013","1000 t","3","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5527","Seed","S2511","Wheat and products","2013","2013","1000 t","1333","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5123","Losses","S2511","Wheat and products","2013","2013","1000 t","615","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5131","Processing","S2511","Wheat and products","2013","2013","1000 t","4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5154","Other uses (non-food)","S2511","Wheat and products","2013","2013","1000 t","6","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5170","Residuals","S2511","Wheat and products","2013","2013","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5142","Food","S2511","Wheat and products","2013","2013","1000 t","22231","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2013","2013","kg/cap","105.32","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2013","2013","kcal/cap/d","919.92","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","661","Food supply (kcal)","S2511","Wheat and products","2013","2013","million Kcal","70872377.47","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2013","2013","g/cap/d","30.05","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","671","Protein supply quantity (t)","S2511","Wheat and products","2013","2013","t","2315261.03","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2013","2013","g/cap/d","4.84","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","681","Fat supply quantity (t)","S2511","Wheat and products","2013","2013","t","372656.65","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2014","2014","1000 t","25995","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2014","2014","1000 t","708","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2014","2014","1000 t","2943","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2014","2014","1000 t","547","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2014","2014","1000 t","23212","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2014","2014","1000 t","4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5527","Seed","S2511","Wheat and products","2014","2014","1000 t","1429","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5123","Losses","S2511","Wheat and products","2014","2014","1000 t","666","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5131","Processing","S2511","Wheat and products","2014","2014","1000 t","4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5154","Other uses (non-food)","S2511","Wheat and products","2014","2014","1000 t","5","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5170","Residuals","S2511","Wheat and products","2014","2014","1000 t","-1","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5142","Food","S2511","Wheat and products","2014","2014","1000 t","21104","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2014","2014","kg/cap","98.5","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2014","2014","kcal/cap/d","860.07","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","661","Food supply (kcal)","S2511","Wheat and products","2014","2014","million Kcal","67263384.87","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2014","2014","g/cap/d","28.09","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","671","Protein supply quantity (t)","S2511","Wheat and products","2014","2014","t","2196673.39","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2014","2014","g/cap/d","4.52","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","681","Fat supply quantity (t)","S2511","Wheat and products","2014","2014","t","353317.62","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2015","2015","1000 t","25128","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2015","2015","1000 t","37","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2015","2015","1000 t","1","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2015","2015","1000 t","1147","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2015","2015","1000 t","24017","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2015","2015","1000 t","10","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5527","Seed","S2511","Wheat and products","2015","2015","1000 t","1380","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5123","Losses","S2511","Wheat and products","2015","2015","1000 t","1174","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5131","Processing","S2511","Wheat and products","2015","2015","1000 t","4","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5154","Other uses (non-food)","S2511","Wheat and products","2015","2015","1000 t","6","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5170","Residuals","S2511","Wheat and products","2015","2015","1000 t","0","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5142","Food","S2511","Wheat and products","2015","2015","1000 t","21443","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","645","Food supply quantity (kg/capita/yr)","S2511","Wheat and products","2015","2015","kg/cap","98.68","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","664","Food supply (kcal/capita/day)","S2511","Wheat and products","2015","2015","kcal/cap/d","862.47","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","661","Food supply (kcal)","S2511","Wheat and products","2015","2015","million Kcal","68403768.26","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2015","2015","g/cap/d","28.18","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","671","Protein supply quantity (t)","S2511","Wheat and products","2015","2015","t","2235057.21","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","684","Fat supply quantity (g/capita/day)","S2511","Wheat and products","2015","2015","g/cap/d","4.55","E","Estimated value",""
"FBS","Food Balances (2010-)","586","Pakistan","681","Fat supply quantity (t)","S2511","Wheat and products","2015","2015","t","361148.16","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5511","Production","S2511","Wheat and products","2016","2016","1000 t","25656","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5611","Import quantity","S2511","Wheat and products","2016","2016","1000 t","23","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5072","Stock Variation","S2511","Wheat and products","2016","2016","1000 t","416","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5911","Export quantity","S2511","Wheat and products","2016","2016","1000 t","686","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5301","Domestic supply quantity","S2511","Wheat and products","2016","2016","1000 t","24577","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5521","Feed","S2511","Wheat and products","2016","2016","1000 t","9","I","Value imputed by a receiving agency",""
"FBS","Food Balances (2010-)","586","Pakistan","5527","Seed","S2511","Wheat and products","2016","2016","1000 t","1410","I","Value imputed by a receiving agency",""
